--------------------results---------------------
man_speed,car_speed,average_time_use_of_method_1,average_time_use_of_method_2,average_time_use_of_method_3
1.500000,3.900000,159.063840,143.476704,111.480384
1.500000,4.000000,162.566500,146.329900,113.000400
1.500000,4.100000,166.069160,149.183096,114.520416
1.500000,4.200000,169.571820,152.036292,116.040432
1.500000,4.300000,173.074480,154.889488,117.560448
1.500000,4.400000,176.577140,157.742684,119.080464
1.500000,4.500000,180.079800,160.595880,120.600480
1.500000,4.600000,183.582460,163.449076,122.120496
1.500000,4.700000,187.085120,166.302272,123.640512
1.500000,4.800000,190.587780,169.155468,125.160528
1.500000,4.900000,194.090440,172.008664,126.680544
1.600000,3.000000,129.037240,119.944744,101.280224
1.600000,3.100000,132.539900,122.797940,102.800240
1.600000,3.200000,136.042560,125.651136,104.320256
1.600000,3.300000,139.545220,128.504332,105.840272
1.600000,3.400000,143.047880,131.357528,107.360288
1.600000,3.500000,146.550540,134.210724,108.880304
1.600000,3.600000,150.053200,137.063920,110.400320
1.600000,3.700000,153.555860,139.917116,111.920336
1.600000,3.800000,157.058520,142.770312,113.440352
1.600000,3.900000,160.561180,145.623508,114.960368
1.600000,4.000000,164.063840,148.476704,116.480384
1.600000,4.100000,167.566500,151.329900,118.000400
1.600000,4.200000,171.069160,154.183096,119.520416
1.600000,4.300000,174.571820,157.036292,121.040432
1.600000,4.400000,178.074480,159.889488,122.560448
1.600000,4.500000,181.577140,162.742684,124.080464
1.600000,4.600000,185.079800,165.595880,125.600480
1.600000,4.700000,188.582460,168.449076,127.120496
1.600000,4.800000,192.085120,171.302272,128.640512
1.600000,4.900000,195.587780,174.155468,130.160528
1.700000,3.000000,130.534580,122.091548,104.760208
1.700000,3.100000,134.037240,124.944744,106.280224
1.700000,3.200000,137.539900,127.797940,107.800240
1.700000,3.300000,141.042560,130.651136,109.320256
1.700000,3.400000,144.545220,133.504332,110.840272
1.700000,3.500000,148.047880,136.357528,112.360288
1.700000,3.600000,151.550540,139.210724,113.880304
1.700000,3.700000,155.053200,142.063920,115.400320
1.700000,3.800000,158.555860,144.917116,116.920336
1.700000,3.900000,162.058520,147.770312,118.440352
1.700000,4.000000,165.561180,150.623508,119.960368
1.700000,4.100000,169.063840,153.476704,121.480384
1.700000,4.200000,172.566500,156.329900,123.000400
1.700000,4.300000,176.069160,159.183096,124.520416
1.700000,4.400000,179.571820,162.036292,126.040432
1.700000,4.500000,183.074480,164.889488,127.560448
1.700000,4.600000,186.577140,167.742684,129.080464
1.700000,4.700000,190.079800,170.595880,130.600480
1.700000,4.800000,193.582460,173.449076,132.120496
1.700000,4.900000,197.085120,176.302272,133.640512
1.800000,3.000000,132.031920,124.238352,108.240192
1.800000,3.100000,135.534580,127.091548,109.760208
1.800000,3.200000,139.037240,129.944744,111.280224
1.800000,3.300000,142.539900,132.797940,112.800240
1.800000,3.400000,146.042560,135.651136,114.320256
1.800000,3.500000,149.545220,138.504332,115.840272
1.800000,3.600000,153.047880,141.357528,117.360288
1.800000,3.700000,156.550540,144.210724,118.880304
1.800000,3.800000,160.053200,147.063920,120.400320
1.800000,3.900000,163.555860,149.917116,121.920336
1.800000,4.000000,167.058520,152.770312,123.440352
1.800000,4.100000,170.561180,155.623508,124.960368
1.800000,4.200000,174.063840,158.476704,126.480384
1.800000,4.300000,177.566500,161.329900,128.000400
1.800000,4.400000,181.069160,164.183096,129.520416
1.800000,4.500000,184.571820,167.036292,131.040432
1.800000,4.600000,188.074480,169.889488,132.560448
1.800000,4.700000,191.577140,172.742684,134.080464
1.800000,4.800000,195.079800,175.595880,135.600480
1.800000,4.900000,198.582460,178.449076,137.120496
1.900000,3.000000,133.529260,126.385156,111.720176
1.900000,3.100000,137.031920,129.238352,113.240192
1.900000,3.200000,140.534580,132.091548,114.760208
1.900000,3.300000,144.037240,134.944744,116.280224
1.900000,3.400000,147.539900,137.797940,117.800240
1.900000,3.500000,151.042560,140.651136,119.320256
1.900000,3.600000,154.545220,143.504332,120.840272
1.900000,3.700000,158.047880,146.357528,122.360288
1.900000,3.800000,161.550540,149.210724,123.880304
1.900000,3.900000,165.053200,152.063920,125.400320
1.900000,4.000000,168.555860,154.917116,126.920336
1.900000,4.100000,172.058520,157.770312,128.440352
1.900000,4.200000,175.561180,160.623508,129.960368
1.900000,4.300000,179.063840,163.476704,131.480384
1.900000,4.400000,182.566500,166.329900,133.000400
1.900000,4.500000,186.069160,169.183096,134.520416
1.900000,4.600000,189.571820,172.036292,136.040432
1.900000,4.700000,193.074480,174.889488,137.560448
1.900000,4.800000,196.577140,177.742684,139.080464
1.900000,4.900000,200.079800,180.595880,140.600480
2.000000,3.000000,135.026600,128.531960,115.200160
2.000000,3.100000,138.529260,131.385156,116.720176
2.000000,3.200000,142.031920,134.238352,118.240192
2.000000,3.300000,145.534580,137.091548,119.760208
2.000000,3.400000,149.037240,139.944744,121.280224
2.000000,3.500000,152.539900,142.797940,122.800240
2.000000,3.600000,156.042560,145.651136,124.320256
2.000000,3.700000,159.545220,148.504332,125.840272
2.000000,3.800000,163.047880,151.357528,127.360288
2.000000,3.900000,166.550540,154.210724,128.880304
2.000000,4.000000,170.053200,157.063920,130.400320
2.000000,4.100000,173.555860,159.917116,131.920336
2.000000,4.200000,177.058520,162.770312,133.440352
2.000000,4.300000,180.561180,165.623508,134.960368
2.000000,4.400000,184.063840,168.476704,136.480384
2.000000,4.500000,187.566500,171.329900,138.000400
2.000000,4.600000,191.069160,174.183096,139.520416
2.000000,4.700000,194.571820,177.036292,141.040432
2.000000,4.800000,198.074480,179.889488,142.560448
2.000000,4.900000,201.577140,182.742684,144.080464
2.100000,3.000000,136.523940,130.678764,118.680144
2.100000,3.100000,140.026600,133.531960,120.200160
